task,auto_avg,pct_avg,recommendation
"Prescribe or recommend drugs, medical devices, or other forms of treatment, such as physical therapy, inhalation therapy, or related therapeutic procedures.",5.00,0.00,Let AI handle this
"Monitor, record, and report symptoms or changes in patients' conditions.",4.01,0.00,Let AI handle this
Record patients' medical information and vital signs.,4.00,0.00,Let AI handle this
Conduct specified laboratory tests.,3.00,0.00,AI can assist
"Perform administrative or managerial functions, such as taking responsibility for a unit's staff, budget, planning, or long-range goals.",2.99,0.00,AI can assist
"Maintain accurate, detailed reports and records.",2.60,0.00,AI can assist
"Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions.",2.47,0.00,AI can assist
Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.,2.47,0.00,AI can assist
Refer students or patients to specialized health resources or community agencies furnishing assistance.,2.36,0.00,AI can assist
"Prepare rooms, sterile instruments, equipment, or supplies and ensure that stock of supplies is maintained.",2.33,0.00,AI can assist
"Assess the needs of individuals, families, or communities, including assessment of individuals' home or work environments, to identify potential health or safety problems.",2.25,0.00,AI can assist
Provide or arrange for training or instruction of auxiliary personnel or students.,2.13,0.00,AI can assist
"Instruct individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and develop health improvement programs.",2.11,0.01,AI can assist
Engage in research activities related to nursing.,1.87,0.00,Focus on doing this yourself
Modify patient treatment plans as indicated by patients' responses and conditions.,1.81,0.00,Focus on doing this yourself
"Order, interpret, and evaluate diagnostic tests to identify and assess patient's condition.",1.75,0.00,Focus on doing this yourself
"Monitor all aspects of patient care, including diet and physical activity.",1.00,0.00,Focus on doing this yourself
"Perform physical examinations, make tentative diagnoses, and treat patients en route to hospitals or at disaster site triage centers.",1.00,0.00,Focus on doing this yourself
