task,task_normalized,dwa_title,iwa_title,gwa_title,title,title_normalized,soc_code_2010,title_current,soc_code_2019,soc_code_2019_full,broad_occ,minor_occ_category,major_occ_category,physical,auto_aug_mean,pct_normalized,date,freq_mean,importance,relevance,task_prop,a_med_nat_2024,a_med_al_2024,a_med_ak_2024,a_med_az_2024,a_med_ar_2024,a_med_ca_2024,a_med_co_2024,a_med_ct_2024,a_med_de_2024,a_med_dc_2024,a_med_fl_2024,a_med_ga_2024,a_med_hi_2024,a_med_id_2024,a_med_il_2024,a_med_in_2024,a_med_ia_2024,a_med_ks_2024,a_med_ky_2024,a_med_la_2024,a_med_me_2024,a_med_md_2024,a_med_ma_2024,a_med_mi_2024,a_med_mn_2024,a_med_ms_2024,a_med_mo_2024,a_med_mt_2024,a_med_ne_2024,a_med_nv_2024,a_med_nh_2024,a_med_nj_2024,a_med_nm_2024,a_med_ny_2024,a_med_nc_2024,a_med_nd_2024,a_med_oh_2024,a_med_ok_2024,a_med_or_2024,a_med_pa_2024,a_med_ri_2024,a_med_sc_2024,a_med_sd_2024,a_med_tn_2024,a_med_tx_2024,a_med_ut_2024,a_med_vt_2024,a_med_va_2024,a_med_wa_2024,a_med_wv_2024,a_med_wi_2024,a_med_wy_2024,a_med_gu_2024,a_med_pr_2024,a_med_vi_2024,emp_tot_nat_2024,emp_tot_al_2024,emp_tot_ak_2024,emp_tot_az_2024,emp_tot_ar_2024,emp_tot_ca_2024,emp_tot_co_2024,emp_tot_ct_2024,emp_tot_de_2024,emp_tot_dc_2024,emp_tot_fl_2024,emp_tot_ga_2024,emp_tot_hi_2024,emp_tot_id_2024,emp_tot_il_2024,emp_tot_in_2024,emp_tot_ia_2024,emp_tot_ks_2024,emp_tot_ky_2024,emp_tot_la_2024,emp_tot_me_2024,emp_tot_md_2024,emp_tot_ma_2024,emp_tot_mi_2024,emp_tot_mn_2024,emp_tot_ms_2024,emp_tot_mo_2024,emp_tot_mt_2024,emp_tot_ne_2024,emp_tot_nv_2024,emp_tot_nh_2024,emp_tot_nj_2024,emp_tot_nm_2024,emp_tot_ny_2024,emp_tot_nc_2024,emp_tot_nd_2024,emp_tot_oh_2024,emp_tot_ok_2024,emp_tot_or_2024,emp_tot_pa_2024,emp_tot_ri_2024,emp_tot_sc_2024,emp_tot_sd_2024,emp_tot_tn_2024,emp_tot_tx_2024,emp_tot_ut_2024,emp_tot_vt_2024,emp_tot_va_2024,emp_tot_wa_2024,emp_tot_wv_2024,emp_tot_wi_2024,emp_tot_wy_2024,emp_tot_gu_2024,emp_tot_pr_2024,emp_tot_vi_2024
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate an organizations financial or budget activities to fund operations maximize investments or increase efficiency,Direct financial operations.,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,3.339622641509434,0.0111845737044281,2025-03-06,0.669603076923077,4.52,74.44,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board members organization officials or staff members to discuss issues coordinate activities or resolve problems,Confer with organizational members to accomplish work activities.,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,2.9649122807017543,0.0155869929890274,2025-03-06,0.6259653846153846,4.32,81.71,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,Implement organizational process or policy changes.,Implement procedures or processes.,Making Decisions and Solving Problems,Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,3.056,0.005866708172845,2025-03-06,0.9714211538461538,4.24,97.79,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,Develop organizational policies or programs.,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies,Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,3.056,0.005866708172845,2025-03-06,0.9714211538461538,4.24,97.79,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,"Direct organizational operations, projects, or services.","Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,3.056,0.005866708172845,2025-03-06,0.9714211538461538,4.24,97.79,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",prepare or present reports concerning activities expenses budgets government statutes or rulings or other items affecting businesses or program services,"Prepare financial documents, reports, or budgets.","Prepare financial documents, reports, or budgets.",Documenting/Recording Information,Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,3.226415094339623,0.0045178882154013,2025-03-06,0.5015223076923077,4.17,92.92,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",prepare or present reports concerning activities expenses budgets government statutes or rulings or other items affecting businesses or program services,Prepare operational progress or status reports.,Prepare reports of operational or procedural activities.,Documenting/Recording Information,Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,3.226415094339623,0.0045178882154013,2025-03-06,0.5015223076923077,4.17,92.92,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction program improvement or policy change,Analyze data to assess operational or project effectiveness.,Analyze data to improve operations.,Analyzing Data or Information,Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,3.026200873362445,0.1247320636747179,2025-03-06,0.5812692307692308,4.13,98.57,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",interpret and explain policies rules regulations or laws to organizations government or corporate officials or individuals,Communicate organizational policies and procedures.,"Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others,Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,2.935,0.0384091478125262,2025-03-06,0.7389096153846154,4.09,96.73,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
Review reports submitted by staff members to recommend approval or to suggest changes.,review reports submitted by staff members to recommend approval or to suggest changes,Analyze data to inform operational decisions or activities.,Analyze data to improve operations.,Analyzing Data or Information,Chief Executives,chief executives,11-1011.00,Chief Executives,11-1011,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,,0.0010073488931775,2025-03-06,0.964546923076923,4.07,96.42,1.0,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,172469.0,1351.0,1482.0,5047.0,3696.0,60212.0,3212.0,2328.0,716.0,2019.0,10911.0,8858.0,928.0,939.0,8385.0,3582.0,5731.0,4136.0,4803.0,1091.0,2393.0,7457.0,11577.0,6415.0,10893.0,716.0,4050.000000000001,1026.0,4543.0,1700.0,1026.0,3452.0,586.0,12749.0,4071.0,602.0,7213.0,3256.0,1498.0,23023.0,549.0,4803.0,863.0,8727.0,15385.0,3980.0,863.0,7522.0,6741.0,2263.0,7229.0,114.0,521.0,3810.0,195.0
