level,level_label,pair,source_a,source_b,rho,pval,n
major,Major,Human Conv. vs Agentic (AEI API),human_conv,aei_api,0.94,0.00,22
major,Major,Human Conv. vs Microsoft,human_conv,microsoft,0.93,0.00,22
major,Major,Human Conv. vs MCP,human_conv,mcp,0.87,0.00,22
major,Major,Agentic (AEI API) vs Microsoft,aei_api,microsoft,0.80,0.00,22
major,Major,Agentic (AEI API) vs MCP,aei_api,mcp,0.86,0.00,22
major,Major,Microsoft vs MCP,microsoft,mcp,0.85,0.00,22
minor,Minor,Human Conv. vs Agentic (AEI API),human_conv,aei_api,0.86,0.00,95
minor,Minor,Human Conv. vs Microsoft,human_conv,microsoft,0.90,0.00,95
minor,Minor,Human Conv. vs MCP,human_conv,mcp,0.80,0.00,95
minor,Minor,Agentic (AEI API) vs Microsoft,aei_api,microsoft,0.71,0.00,95
minor,Minor,Agentic (AEI API) vs MCP,aei_api,mcp,0.81,0.00,95
minor,Minor,Microsoft vs MCP,microsoft,mcp,0.78,0.00,95
broad,Broad,Human Conv. vs Agentic (AEI API),human_conv,aei_api,0.79,0.00,439
broad,Broad,Human Conv. vs Microsoft,human_conv,microsoft,0.88,0.00,439
broad,Broad,Human Conv. vs MCP,human_conv,mcp,0.73,0.00,439
broad,Broad,Agentic (AEI API) vs Microsoft,aei_api,microsoft,0.61,0.00,439
broad,Broad,Agentic (AEI API) vs MCP,aei_api,mcp,0.67,0.00,439
broad,Broad,Microsoft vs MCP,microsoft,mcp,0.71,0.00,439
occupation,Occupation,Human Conv. vs Agentic (AEI API),human_conv,aei_api,0.73,0.00,923
occupation,Occupation,Human Conv. vs Microsoft,human_conv,microsoft,0.86,0.00,923
occupation,Occupation,Human Conv. vs MCP,human_conv,mcp,0.68,0.00,923
occupation,Occupation,Agentic (AEI API) vs Microsoft,aei_api,microsoft,0.55,0.00,923
occupation,Occupation,Agentic (AEI API) vs MCP,aei_api,mcp,0.60,0.00,923
occupation,Occupation,Microsoft vs MCP,microsoft,mcp,0.65,0.00,923
